__time,/mti630/imu/angular_velocity/x,/mti630/imu/angular_velocity/y,/mti630/imu/angular_velocity/z,/mti630/imu/angular_velocity_covariance[0;0],/mti630/imu/angular_velocity_covariance[0;1],/mti630/imu/angular_velocity_covariance[0;2],/mti630/imu/angular_velocity_covariance[1;1],/mti630/imu/angular_velocity_covariance[1;2],/mti630/imu/angular_velocity_covariance[2;2],/mti630/imu/header/stamp,/mti630/imu/linear_acceleration/x,/mti630/imu/linear_acceleration/y,/mti630/imu/linear_acceleration/z,/mti630/imu/linear_acceleration_covariance[0;0],/mti630/imu/linear_acceleration_covariance[0;1],/mti630/imu/linear_acceleration_covariance[0;2],/mti630/imu/linear_acceleration_covariance[1;1],/mti630/imu/linear_acceleration_covariance[1;2],/mti630/imu/linear_acceleration_covariance[2;2],/mti630/imu/orientation/pitch_deg,/mti630/imu/orientation/roll_deg,/mti630/imu/orientation/w,/mti630/imu/orientation/x,/mti630/imu/orientation/y,/mti630/imu/orientation/yaw_deg,/mti630/imu/orientation/z,/mti630/imu/orientation_covariance[0;0],/mti630/imu/orientation_covariance[0;1],/mti630/imu/orientation_covariance[0;2],/mti630/imu/orientation_covariance[1;1],/mti630/imu/orientation_covariance[1;2],/mti630/imu/orientation_covariance[2;2],/triangulation_3D_pose/header/stamp,/triangulation_3D_pose/pose/covariance[0;0],/triangulation_3D_pose/pose/covariance[0;1],/triangulation_3D_pose/pose/covariance[0;2],/triangulation_3D_pose/pose/covariance[0;3],/triangulation_3D_pose/pose/covariance[0;4],/triangulation_3D_pose/pose/covariance[0;5],/triangulation_3D_pose/pose/covariance[1;1],/triangulation_3D_pose/pose/covariance[1;2],/triangulation_3D_pose/pose/covariance[1;3],/triangulation_3D_pose/pose/covariance[1;4],/triangulation_3D_pose/pose/covariance[1;5],/triangulation_3D_pose/pose/covariance[2;2],/triangulation_3D_pose/pose/covariance[2;3],/triangulation_3D_pose/pose/covariance[2;4],/triangulation_3D_pose/pose/covariance[2;5],/triangulation_3D_pose/pose/covariance[3;3],/triangulation_3D_pose/pose/covariance[3;4],/triangulation_3D_pose/pose/covariance[3;5],/triangulation_3D_pose/pose/covariance[4;4],/triangulation_3D_pose/pose/covariance[4;5],/triangulation_3D_pose/pose/covariance[5;5],/triangulation_3D_pose/pose/pose/orientation/pitch_deg,/triangulation_3D_pose/pose/pose/orientation/roll_deg,/triangulation_3D_pose/pose/pose/orientation/w,/triangulation_3D_pose/pose/pose/orientation/x,/triangulation_3D_pose/pose/pose/orientation/y,/triangulation_3D_pose/pose/pose/orientation/yaw_deg,/triangulation_3D_pose/pose/pose/orientation/z,/triangulation_3D_pose/pose/pose/position/x,/triangulation_3D_pose/pose/pose/position/y,/triangulation_3D_pose/pose/pose/position/z,/triangulation_3D_pose/twist/covariance[0;0],/triangulation_3D_pose/twist/covariance[0;1],/triangulation_3D_pose/twist/covariance[0;2],/triangulation_3D_pose/twist/covariance[0;3],/triangulation_3D_pose/twist/covariance[0;4],/triangulation_3D_pose/twist/covariance[0;5],/triangulation_3D_pose/twist/covariance[1;1],/triangulation_3D_pose/twist/covariance[1;2],/triangulation_3D_pose/twist/covariance[1;3],/triangulation_3D_pose/twist/covariance[1;4],/triangulation_3D_pose/twist/covariance[1;5],/triangulation_3D_pose/twist/covariance[2;2],/triangulation_3D_pose/twist/covariance[2;3],/triangulation_3D_pose/twist/covariance[2;4],/triangulation_3D_pose/twist/covariance[2;5],/triangulation_3D_pose/twist/covariance[3;3],/triangulation_3D_pose/twist/covariance[3;4],/triangulation_3D_pose/twist/covariance[3;5],/triangulation_3D_pose/twist/covariance[4;4],/triangulation_3D_pose/twist/covariance[4;5],/triangulation_3D_pose/twist/covariance[5;5],/triangulation_3D_pose/twist/twist/angular/x,/triangulation_3D_pose/twist/twist/angular/y,/triangulation_3D_pose/twist/twist/angular/z,/triangulation_3D_pose/twist/twist/linear/x,/triangulation_3D_pose/twist/twist/linear/y,/triangulation_3D_pose/twist/twist/linear/z
1690309417.910126,0.007784,0.006568,-0.003736,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.315068,10.157375,-0.131683,-0.181410,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.736766,-105.850190,-0.560101,-0.397330,0.591525,176.744074,-0.422509,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.919353,0.003637,0.004605,-0.001737,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.322568,9.662008,-0.158506,0.002092,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.738765,-105.784222,-0.560069,-0.397399,0.591449,176.693372,-0.422594,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.927844,-0.001580,0.002953,-0.008532,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.330068,9.583296,-0.501475,-0.346520,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.739672,-105.781367,-0.560018,-0.397481,0.591391,176.705808,-0.422666,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.936086,0.004666,0.014632,0.005931,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.337568,9.862659,-0.363855,-0.100534,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.739392,-105.732837,-0.559970,-0.397546,0.591328,176.672725,-0.422756,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.945054,-0.000438,0.012868,-0.001575,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.347568,9.274249,-0.219213,-0.078309,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.741151,-105.597969,-0.559931,-0.397624,0.591217,176.558709,-0.422888,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.953895,0.004838,-0.002855,0.007883,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.355068,10.266711,0.219877,-0.371627,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.738459,-105.584527,-0.559860,-0.397695,0.591170,176.561783,-0.422982,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.962337,0.000113,0.008456,0.003283,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.365068,9.953869,0.120415,-0.516633,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.739549,-105.472597,-0.559810,-0.397781,0.591064,176.471674,-0.423115,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.972137,0.000291,-0.003064,-0.008275,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.372568,9.667018,-0.254718,-0.419691,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.742237,-105.432202,-0.559769,-0.397868,0.590984,176.448214,-0.423199,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.979761,0.001965,0.014558,-0.004289,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.397568,9.179597,-0.791904,0.113015,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.745801,-105.492852,-0.559568,-0.398185,0.590788,176.564484,-0.423441,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309417.988797,0.003210,0.004544,0.005376,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.405068,9.651117,0.263894,-0.099790,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.742667,-105.425356,-0.559505,-0.398242,0.590729,176.513897,-0.423553,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
