__time,/mti630/imu/angular_velocity/x,/mti630/imu/angular_velocity/y,/mti630/imu/angular_velocity/z,/mti630/imu/angular_velocity_covariance[0;0],/mti630/imu/angular_velocity_covariance[0;1],/mti630/imu/angular_velocity_covariance[0;2],/mti630/imu/angular_velocity_covariance[1;1],/mti630/imu/angular_velocity_covariance[1;2],/mti630/imu/angular_velocity_covariance[2;2],/mti630/imu/header/stamp,/mti630/imu/linear_acceleration/x,/mti630/imu/linear_acceleration/y,/mti630/imu/linear_acceleration/z,/mti630/imu/linear_acceleration_covariance[0;0],/mti630/imu/linear_acceleration_covariance[0;1],/mti630/imu/linear_acceleration_covariance[0;2],/mti630/imu/linear_acceleration_covariance[1;1],/mti630/imu/linear_acceleration_covariance[1;2],/mti630/imu/linear_acceleration_covariance[2;2],/mti630/imu/orientation/pitch_deg,/mti630/imu/orientation/roll_deg,/mti630/imu/orientation/w,/mti630/imu/orientation/x,/mti630/imu/orientation/y,/mti630/imu/orientation/yaw_deg,/mti630/imu/orientation/z,/mti630/imu/orientation_covariance[0;0],/mti630/imu/orientation_covariance[0;1],/mti630/imu/orientation_covariance[0;2],/mti630/imu/orientation_covariance[1;1],/mti630/imu/orientation_covariance[1;2],/mti630/imu/orientation_covariance[2;2],/triangulation_3D_pose/header/stamp,/triangulation_3D_pose/pose/covariance[0;0],/triangulation_3D_pose/pose/covariance[0;1],/triangulation_3D_pose/pose/covariance[0;2],/triangulation_3D_pose/pose/covariance[0;3],/triangulation_3D_pose/pose/covariance[0;4],/triangulation_3D_pose/pose/covariance[0;5],/triangulation_3D_pose/pose/covariance[1;1],/triangulation_3D_pose/pose/covariance[1;2],/triangulation_3D_pose/pose/covariance[1;3],/triangulation_3D_pose/pose/covariance[1;4],/triangulation_3D_pose/pose/covariance[1;5],/triangulation_3D_pose/pose/covariance[2;2],/triangulation_3D_pose/pose/covariance[2;3],/triangulation_3D_pose/pose/covariance[2;4],/triangulation_3D_pose/pose/covariance[2;5],/triangulation_3D_pose/pose/covariance[3;3],/triangulation_3D_pose/pose/covariance[3;4],/triangulation_3D_pose/pose/covariance[3;5],/triangulation_3D_pose/pose/covariance[4;4],/triangulation_3D_pose/pose/covariance[4;5],/triangulation_3D_pose/pose/covariance[5;5],/triangulation_3D_pose/pose/pose/orientation/pitch_deg,/triangulation_3D_pose/pose/pose/orientation/roll_deg,/triangulation_3D_pose/pose/pose/orientation/w,/triangulation_3D_pose/pose/pose/orientation/x,/triangulation_3D_pose/pose/pose/orientation/y,/triangulation_3D_pose/pose/pose/orientation/yaw_deg,/triangulation_3D_pose/pose/pose/orientation/z,/triangulation_3D_pose/pose/pose/position/x,/triangulation_3D_pose/pose/pose/position/y,/triangulation_3D_pose/pose/pose/position/z,/triangulation_3D_pose/twist/covariance[0;0],/triangulation_3D_pose/twist/covariance[0;1],/triangulation_3D_pose/twist/covariance[0;2],/triangulation_3D_pose/twist/covariance[0;3],/triangulation_3D_pose/twist/covariance[0;4],/triangulation_3D_pose/twist/covariance[0;5],/triangulation_3D_pose/twist/covariance[1;1],/triangulation_3D_pose/twist/covariance[1;2],/triangulation_3D_pose/twist/covariance[1;3],/triangulation_3D_pose/twist/covariance[1;4],/triangulation_3D_pose/twist/covariance[1;5],/triangulation_3D_pose/twist/covariance[2;2],/triangulation_3D_pose/twist/covariance[2;3],/triangulation_3D_pose/twist/covariance[2;4],/triangulation_3D_pose/twist/covariance[2;5],/triangulation_3D_pose/twist/covariance[3;3],/triangulation_3D_pose/twist/covariance[3;4],/triangulation_3D_pose/twist/covariance[3;5],/triangulation_3D_pose/twist/covariance[4;4],/triangulation_3D_pose/twist/covariance[4;5],/triangulation_3D_pose/twist/covariance[5;5],/triangulation_3D_pose/twist/twist/angular/x,/triangulation_3D_pose/twist/twist/angular/y,/triangulation_3D_pose/twist/twist/angular/z,/triangulation_3D_pose/twist/twist/linear/x,/triangulation_3D_pose/twist/twist/linear/y,/triangulation_3D_pose/twist/twist/linear/z
1690312190.573805,-0.000410,0.003061,0.001007,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.060068,9.773779,-0.171161,-0.049373,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427601,-138.101594,-0.678546,-0.135264,0.705980,161.483956,-0.151235,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.582545,0.004073,0.003067,-0.001791,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.067568,9.802916,-0.172119,-0.041909,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.428789,-138.074097,-0.678536,-0.135357,0.705951,161.471956,-0.151330,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.587485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678315273.547024,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1690312190.591393,0.002723,0.000101,-0.001054,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.077568,9.748316,-0.193547,-0.111934,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.428603,-138.051908,-0.678510,-0.135478,0.705925,161.470466,-0.151458,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.599981,-0.000869,0.000506,0.001591,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.085068,9.790397,-0.084963,-0.120747,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427885,-138.034883,-0.678490,-0.135559,0.705909,161.467655,-0.151549,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.608907,0.005015,0.000929,-0.002995,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.092568,9.743192,-0.124144,-0.058794,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.428524,-138.019250,-0.678475,-0.135654,0.705885,161.467659,-0.151643,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.617649,0.001856,-0.001457,0.000698,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.102568,9.834290,-0.115698,-0.084984,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427616,-137.987430,-0.678447,-0.135771,0.705861,161.456577,-0.151776,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.626393,0.004786,-0.001265,-0.000101,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.110068,9.731913,-0.142312,-0.206356,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.428095,-137.970303,-0.678431,-0.135869,0.705837,161.455680,-0.151875,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.635427,0.004166,-0.001593,0.002419,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.117568,9.831450,-0.184835,-0.145520,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427569,-137.944368,-0.678411,-0.135954,0.705818,161.444907,-0.151973,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.643462,0.001860,0.002248,-0.001773,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.127568,9.807493,-0.222520,0.067767,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427925,-137.917606,-0.678390,-0.136076,0.705788,161.438709,-0.152100,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
